date,open,high,low,close,volume,value
2009-12-30,598.00,602.00,595.00,596.00,6890000,4124024000
2009-12-29,597.00,604.00,593.00,594.00,6998000,4171274000
2009-12-28,596.00,603.00,593.00,601.00,7473000,4477894000
2009-12-25,602.00,604.00,595.00,598.00,6157000,3693060000
2009-12-24,590.00,606.00,583.00,601.00,15121000,9007013000
2009-12-22,590.00,591.00,583.00,586.00,10843000,6360165000
2009-12-21,594.00,598.00,580.00,580.00,11301000,6643833000
2009-12-18,582.00,596.00,581.00,593.00,24810000,14664742000
2009-12-17,585.00,590.00,581.00,582.00,11006000,6432413000
2009-12-16,575.00,588.00,573.00,583.00,11459000,6656709000
2009-12-15,567.00,576.00,563.00,572.00,13215000,7522004000
2009-12-14,567.00,580.00,564.00,573.00,14673000,8377611000
2009-12-11,565.00,567.00,553.00,566.00,18997000,10679835000
2009-12-10,559.00,561.00,541.00,551.00,18081000,9979941000
2009-12-09,555.00,567.00,554.00,565.00,9911000,5578526000
2009-12-08,565.00,570.00,561.00,569.00,13121000,7427371000
2009-12-07,573.00,581.00,568.00,579.00,14346000,8252220000
2009-12-04,563.00,568.00,550.00,556.00,13753000,7642484000
2009-12-03,543.00,561.00,543.00,560.00,14562000,8039964000
2009-12-02,524.00,549.00,523.00,542.00,20145000,10863497000
2009-12-01,504.00,517.00,494.00,517.00,15573000,7900627000
2009-11-30,498.00,514.00,498.00,514.00,13998000,7120876000
2009-11-27,495.00,496.00,481.00,484.00,9939000,4840748000
2009-11-26,506.00,514.00,502.00,503.00,10307000,5217300000
2009-11-25,512.00,516.00,505.00,511.00,9433000,4813589000
2009-11-24,505.00,512.00,498.00,502.00,7995000,4039767000
2009-11-20,500.00,513.00,498.00,504.00,12592000,6335252000
2009-11-19,515.00,515.00,505.00,508.00,11643000,5912734000
2009-11-18,521.00,525.00,501.00,510.00,18061000,9247786000
2009-11-17,533.00,538.00,527.00,530.00,9482000,5036090000
2009-11-16,537.00,538.00,524.00,535.00,7330000,3899322000
2009-11-13,545.00,549.00,537.00,537.00,7757000,4204961000
2009-11-12,550.00,556.00,542.00,545.00,8587000,4703400000
2009-11-11,543.00,557.00,541.00,548.00,20639000,11366143000
2009-11-10,550.00,553.00,537.00,537.00,10056000,5477503000
2009-11-09,545.00,552.00,539.00,545.00,10433000,5700068000
2009-11-06,539.00,553.00,539.00,544.00,10895000,5949829000
2009-11-05,533.00,542.00,530.00,534.00,8602000,4596677000
2009-11-04,537.00,538.00,524.00,537.00,10958000,5830948000
2009-11-02,525.00,541.00,523.00,539.00,12661000,6744523000
2009-10-30,556.00,557.00,545.00,548.00,12190000,6695259000
2009-10-29,537.00,562.00,535.00,546.00,20764000,11382822000
2009-10-28,553.00,558.00,546.00,557.00,13052000,7203361000
2009-10-27,557.00,562.00,552.00,558.00,14584000,8145726000
2009-10-26,561.00,571.00,556.00,567.00,15128000,8525422000
2009-10-23,584.00,585.00,567.00,568.00,17701000,10171469000
2009-10-22,589.00,594.00,574.00,584.00,12632000,7350887000
2009-10-21,595.00,600.00,592.00,595.00,9127000,5431209000
2009-10-20,602.00,604.00,592.00,595.00,10363000,6184818000
2009-10-19,598.00,603.00,591.00,598.00,11961000,7139968000
2009-10-16,601.00,605.00,599.00,604.00,9848000,5937117000
2009-10-15,600.00,602.00,589.00,594.00,9748000,5802091000
2009-10-14,596.00,597.00,580.00,587.00,9261000,5429516000
2009-10-13,597.00,600.00,592.00,593.00,10286000,6130626000
2009-10-09,582.00,593.00,580.00,590.00,13194000,7747333000
2009-10-08,569.00,576.00,566.00,572.00,11995000,6844628000
2009-10-07,561.00,568.00,554.00,558.00,19431000,10890293000
2009-10-06,552.00,553.00,537.00,543.00,15180000,8246068000
2009-10-05,553.00,559.00,539.00,545.00,17018000,9308431000
2009-10-02,552.00,567.00,550.00,564.00,15433000,8633737000
2009-10-01,590.00,599.00,572.00,578.00,14261000,8299395000
2009-09-30,600.00,603.00,584.00,587.00,14275000,8433198000
2009-09-29,595.00,605.00,594.00,600.00,14102000,8460270000
2009-09-28,587.00,593.00,580.00,590.00,15622000,9151676000
2009-09-25,620.00,625.00,611.00,613.00,11606000,7168955000
2009-09-24,650.00,650.00,635.00,643.00,12321000,7916243000
2009-09-18,630.00,645.00,625.00,642.00,21020000,13427073000
2009-09-17,634.00,634.00,615.00,626.00,8965000,5590938000
2009-09-16,612.00,627.00,612.00,621.00,12591000,7802431000
2009-09-15,609.00,617.00,606.00,609.00,7545000,4605396000
2009-09-14,624.00,627.00,602.00,606.00,11903000,7246769000
2009-09-11,635.00,635.00,620.00,623.00,19554000,12271834000
2009-09-10,611.00,629.00,609.00,628.00,21061000,13047400000
2009-09-09,591.00,603.00,582.00,593.00,13145000,7774227000
2009-09-08,604.00,604.00,597.00,601.00,10257000,6158371000
2009-09-07,610.00,614.00,601.00,604.00,8220000,4974210000
2009-09-04,612.00,613.00,595.00,600.00,13431000,8089021000
2009-09-03,603.00,613.00,598.00,605.00,11597000,7020637000
2009-09-02,615.00,615.00,602.00,609.00,19416000,11804916000
2009-09-01,626.00,633.00,623.00,632.00,11406000,7177687000
2009-08-31,639.00,648.00,619.00,626.00,10915000,6893334000
2009-08-28,645.00,647.00,628.00,631.00,11874000,7527597000
2009-08-27,642.00,645.00,623.00,636.00,14004000,8875151000
2009-08-26,659.00,661.00,646.00,650.00,14472000,9458271000
2009-08-25,650.00,660.00,647.00,649.00,17169000,11192613000
2009-08-24,641.00,655.00,641.00,654.00,28061000,18212178000
2009-08-21,621.00,635.00,614.00,625.00,24965000,15616523000
2009-08-20,613.00,624.00,606.00,619.00,10361000,6380336000
2009-08-19,610.00,619.00,605.00,609.00,11786000,7230137000
2009-08-18,610.00,622.00,610.00,619.00,10009000,6172903000
2009-08-17,638.00,639.00,618.00,620.00,14468000,9057475000
2009-08-14,630.00,638.00,625.00,628.00,7364000,4639264000
2009-08-13,629.00,635.00,624.00,628.00,10839000,6819170000
2009-08-12,626.00,627.00,617.00,619.00,10571000,6553347000
2009-08-11,635.00,636.00,623.00,627.00,10666000,6698613000
2009-08-10,654.00,657.00,635.00,637.00,12815000,8234368000
2009-08-07,618.00,641.00,617.00,641.00,23234000,14716034000
2009-08-06,613.00,626.00,610.00,622.00,9858000,6116182000
2009-08-05,620.00,624.00,601.00,603.00,8901000,5433339000
2009-08-04,631.00,632.00,611.00,614.00,10523000,6504178000
2009-08-03,617.00,628.00,611.00,616.00,10437000,6443291000
2009-07-31,604.00,627.00,602.00,622.00,23834000,14721406000
2009-07-30,596.00,599.00,586.00,594.00,12058000,7148045000
2009-07-29,563.00,584.00,563.00,576.00,13125000,7527311000
2009-07-28,569.00,577.00,566.00,573.00,8958000,5111525000
2009-07-27,579.00,591.00,571.00,573.00,17961000,10404467000
2009-07-24,571.00,586.00,563.00,565.00,27940000,16022418000
2009-07-23,532.00,556.00,531.00,543.00,30245000,16405605000
2009-07-22,506.00,532.00,500.00,525.00,16414000,8530905000
2009-07-21,506.00,508.00,497.00,506.00,9336000,4694357000
2009-07-17,498.00,502.00,473.00,486.00,10237000,4969272000
2009-07-16,501.00,503.00,491.00,493.00,6339000,3151549000
2009-07-15,491.00,491.00,479.00,486.00,8490000,4120621000
2009-07-14,489.00,496.00,485.00,490.00,6854000,3361039000
2009-07-13,488.00,496.00,478.00,479.00,7966000,3868407000
2009-07-10,495.00,500.00,491.00,494.00,7638000,3777097000
2009-07-09,495.00,500.00,493.00,496.00,8931000,4428068000
2009-07-08,510.00,511.00,500.00,505.00,8289000,4187069000
2009-07-07,515.00,520.00,510.00,516.00,6883000,3549221000
2009-07-06,520.00,522.00,508.00,517.00,9798000,5057825000
2009-07-03,526.00,531.00,522.00,528.00,7942000,4187993000
2009-07-02,534.00,543.00,529.00,536.00,17022000,9165946000
2009-07-01,529.00,535.00,520.00,524.00,10542000,5565255000
2009-06-30,520.00,526.00,518.00,526.00,7390000,3870111000
2009-06-29,521.00,524.00,505.00,510.00,6515000,3354060000
2009-06-26,525.00,531.00,519.00,521.00,9975000,5217793000
2009-06-25,498.00,518.00,494.00,512.00,14856000,7551763000
2009-06-24,480.00,492.00,480.00,485.00,7053000,3421402000
2009-06-23,494.00,496.00,483.00,484.00,11020000,5361716000
2009-06-22,513.00,514.00,497.00,508.00,7360000,3730129000
2009-06-19,519.00,520.00,502.00,506.00,7139000,3646836000
2009-06-18,508.00,514.00,493.00,504.00,8198000,4111763000
2009-06-17,506.00,515.00,503.00,513.00,6071000,3089089000
2009-06-16,509.00,515.00,502.00,507.00,9784000,4957080000
2009-06-15,528.00,530.00,515.00,519.00,5129000,2667774000
2009-06-12,546.00,546.00,526.00,531.00,13827000,7440295000
2009-06-11,516.00,529.00,514.00,526.00,11999000,6279744000
2009-06-10,504.00,516.00,502.00,513.00,8565000,4376198000
2009-06-09,505.00,510.00,498.00,499.00,5970000,3002057000
2009-06-08,500.00,507.00,498.00,504.00,6902000,3472247000
2009-06-05,501.00,504.00,490.00,495.00,7794000,3856218000
2009-06-04,494.00,503.00,490.00,502.00,6977000,3472905000
2009-06-03,500.00,506.00,493.00,493.00,7637000,3806992000
2009-06-02,512.00,514.00,503.00,505.00,10955000,5559871000
2009-06-01,493.00,503.00,490.00,499.00,8389000,4179343000
2009-05-29,494.00,498.00,488.00,494.00,8812000,4337965000
2009-05-28,486.00,496.00,483.00,489.00,8966000,4388736000
2009-05-27,490.00,492.00,480.00,483.00,12338000,5981231000
2009-05-26,493.00,493.00,478.00,485.00,11202000,5418132000
2009-05-25,490.00,498.00,490.00,491.00,8370000,4124893000
2009-05-22,499.00,506.00,488.00,493.00,15413000,7627476000
2009-05-21,490.00,494.00,484.00,494.00,8874000,4339909000
2009-05-20,510.00,512.00,492.00,500.00,8611000,4305963000
2009-05-19,501.00,511.00,498.00,511.00,9953000,5040187000
2009-05-18,489.00,489.00,481.00,486.00,7702000,3729399000
2009-05-15,493.00,499.00,488.00,494.00,10260000,5055486000
2009-05-14,487.00,497.00,486.00,492.00,12326000,6065284000
2009-05-13,512.00,520.00,503.00,507.00,12907000,6573215000
2009-05-12,515.00,528.00,509.00,516.00,14592000,7568533000
2009-05-11,506.00,522.00,505.00,518.00,10039000,5168565000
2009-05-08,509.00,533.00,507.00,526.00,15589000,8146228000
2009-05-07,539.00,541.00,515.00,517.00,25456000,13387112000
2009-05-01,475.00,500.00,475.00,496.00,44392000,21679616000
2009-04-30,430.00,434.00,420.00,420.00,10297000,4408025000
2009-04-28,420.00,436.00,412.00,413.00,12733000,5399319000
2009-04-27,421.00,426.00,413.00,425.00,13691000,5772527000
2009-04-24,420.00,423.00,409.00,411.00,14102000,5851222000
2009-04-23,426.00,430.00,413.00,424.00,8427000,3564446000
2009-04-22,414.00,427.00,414.00,419.00,19355000,8147338000
2009-04-21,399.00,409.00,398.00,409.00,9772000,3943845000
