20100225
1001	日経２２５	10256	10267	10087	10101	181.256
1002	東証指数	899	900	889	891	181.256
1003	ＮＹ円相場	8911	8911	8911	8911	0
1007	東京円相場	8911	8911	8911	8911	0
1008	円ユーロ	12012	12012	12012	12012	0
1011	日経平均先物	10180	10270	10080	10100	89.946
1012	TOPIX先物	895	901	888	892	42.366
1013	JASDAQ指数	5038	5046	5030	5036	0
1301	極洋	194	194	193	194	137
1305	ダイワTOPIX	910	910	899	902	97.7
1306	TOPIX連動型	915	916	903	907	2111.89
1308	上場TOPIX	895	895	884	888	200
1309	上海株式指数	28050	28110	27840	28000	8.679
1310	ダイワコア30	507	507	507	507	1.5
1311	TOPIXCore30	512	513	509	510	10.68
1312	小型コアイン	8720	8720	8720	8720	0
1313	KODEX200上場	1840	1840	1725	1726	3.11
1314	日本新興100	580	580	580	580	0
1316	日本大型100	644	644	644	644	0
1317	日本中型400	925	925	925	925	0
1318	日本小型株	901	901	901	901	0
1319	３００投信	153	155	153	155	28
1320	ダイワ-日経2	10280	10320	10140	10140	115.55
1321	日経225連動	10350	10370	10190	10190	314.828
1322	中国A株300	3905	3910	3865	3865	11.85
1323	南アフリカ株	284	287	284	286	36
1324	ロシア株式指	139	139	135	137	97.6
1325	ブラジル株式	302	303	299	299	320.9
1326	SPDRゴールド	9720	9750	9550	9590	48.046
1327	イージーETFS	3850	3895	3810	3825	0.426
1328	金価格連動型	2981	2981	2955	2960	49.3
1329	i-日経225	10320	10330	10180	10210	2.44
1330	上場225	10400	10420	10240	10270	364.45
1332	日本水産	260	260	255	258	1002.6
1334	マルハグルー	126	126	124	124	565
1340	インド通貨連	188	188	188	188	49.4
1341	ブラジル通貨	4745	4750	4745	4745	1.27
1342	ロシア通貨連	291	291	291	291	7.9
1343	東証REIT指数	931	935	931	932	9.15
1344	コア30	505	505	505	505	0
1345	Jリート隔月	920	920	913	916	24.5
1346	MAXIS_日経22	10280	10290	10150	10160	0.214
1347	グリーン35	3335	3335	3270	3270	1.04
1348	MAXIS_トピッ	898	898	889	889	1.34
1349	ABF_汎アジア	10630	10640	10500	10500	0.05
1352	ホウスイ	106	108	105	108	60
1376	カネコ種苗	720	720	710	710	5.1
1377	サカタタネ	1194	1199	1189	1195	130
1378	雪国まいたけ	429	430	428	429	17.2
1379	ホクト	1883	1899	1875	1882	145.6
1380	秋川牧園	424	424	424	424	0
1381	アクシーズ	765	765	765	765	1.3
1382	ホーブ	159600	159600	159600	159600	0.001
1400	ルーデンホー	4730	5200	4700	4950	0.183
1401	エムビーエス	52400	52400	52400	52400	0.004
1405	サーラ住宅	340	340	335	336	7.8
1407	ウエストホー	1200	1218	1185	1185	23
1408	サムシングホ	43500	45900	43500	44000	0.022
1412	チャイナボー	21880	22590	21660	21800	0.406
1413	桧家住宅	49000	49900	49000	49800	0.087
1414	ショーボンド	1679	1699	1670	1699	84.1
1416	日本インテグ	75	75	75	75	52
1491	中外鉱業	37	38	37	37	330.6
1514	住石ホールデ	89	89	86	86	213.4
1515	日鉄鉱業	387	390	378	380	168
1518	三井松島	166	169	163	164	8050
1605	国際石油ホー	656000	659000	641000	645000	8.318
1606	日本海洋掘削	5040	5080	4935	4955	91
1610	ダイワ電気機	1303	1303	1303	1303	0
1612	ダイワ銀行業	131	131	130	130	5
1613	東証電気機器	1302	1304	1280	1280	0.76
1615	東証銀行業	136	137	136	136	227.5
1616	FTSE日本指数	739	753	739	753	18.5
1617	食品上場投信	14290	14290	14210	14210	0.005
1618	エネルギー資	11770	11770	11640	11640	0.159
1619	建設資材上場	11830	11830	11830	11830	0
1620	素材化学上場	10660	10660	10660	10660	0
1621	医薬品上場投	10860	10860	10860	10860	0.001
1622	自動車輸送機	11870	11870	11500	11530	0.057
1623	鉄鋼非鉄上場	20800	20800	20510	20510	0.06
1624	機械上場投信	16090	16090	15850	15850	0.174
1625	電機精密上場	10290	10290	10170	10170	0.032
1626	情報通信サー	8720	8730	8680	8680	2.969
1627	電力ガス上場	11500	11600	11500	11560	0.498
1628	運輸物流上場	10000	10000	10000	10000	0
1629	商社卸売上場	18200	18200	18050	18060	0.003
1630	小売上場投信	8710	8800	8710	8800	2.185
1631	銀行上場投信	8110	8110	8020	8060	1.502
1632	金融（除く銀	8200	8200	8200	8200	0.001
1633	不動産上場投	15440	15440	15360	15360	0.004
1634	17食品	14330	14330	14330	14330	0
1635	17エネルギー	11640	11640	11640	11640	0
1636	17建設資材	11350	11350	11350	11350	0
1637	17素材化学	11870	11870	11870	11870	0
1638	17医薬品	10540	10540	10540	10540	0
1639	17自動車輸送	11490	11490	11490	11490	0.001
1640	17鉄鋼非鉄	20810	20810	20810	20810	0
1641	17機械	16660	16660	16660	16660	0
1642	17電機精密	10170	10170	10170	10170	0
1643	17情報サービ	8780	8780	8780	8780	0
1644	17電力ガス	11400	11400	11400	11400	0
1645	17運輸物流	9990	9990	9990	9990	0
1646	17商社卸売	19580	19580	19580	19580	0
1647	17小売	8600	8600	8600	8600	0
1648	17銀行	8640	8640	8640	8640	0
1649	17金融(除く	7860	7860	7860	7860	0
1650	17不動産	15950	15950	15950	15950	0
1661	関東天然瓦斯	464	466	460	461	133
1662	石油資源開発	4240	4250	4175	4190	97.5
1670	MAXIS_S&P三	101	101	100	100	102.1
